B_fighter,R_fighter,date,location,weight_class,no_of_rounds,B_current_lose_streak,B_current_win_streak,R_current_lose_streak,R_current_win_streak,B_total_rounds_fought,R_total_rounds_fought,B_wins,R_wins,B_Height_cms,R_Height_cms,B_Reach_cms,R_Reach_cms,B_Weight_lbs,R_Weight_lbs,B_age,R_age,elevation (ft),b_hot_or_not,r_hot_or_not,Winner_Blue,Winner_Red,title_bout_False,title_bout_True,B_Stance_Open Stance,B_Stance_Orthodox,B_Stance_Southpaw,B_Stance_Switch,R_Stance_Open Stance,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch,weight_buckets_Heavy,weight_buckets_Light,weight_buckets_Middle
Vitor Belfort,Randy Couture,1997-10-17,"Bay St. Louis, Mississippi, USA",Heavyweight,2,0.0,3.0,0.0,2.0,3.0,2.0,3.0,2.0,182.88,185.42,187.96,190.5,185.0,205.0,20.0,34.0,23,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0
Chuck Liddell,Jeremy Horn,1999-03-05,"Bay St. Louis, Mississippi, USA",Middleweight,2,0.0,1.0,2.0,0.0,1.0,3.0,1.0,0.0,187.96,185.42,193.04,187.96,205.0,185.0,29.0,23.0,23,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
Wanderlei Silva,Vitor Belfort,1998-10-16,"Sao Paulo, Brazil",Middleweight,2,0.0,0.0,0.0,1.0,0.0,5.0,0.0,4.0,180.34,182.88,187.96,187.96,205.0,185.0,22.0,21.0,2493,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0
Ildemar Alcantara,Wagner Prado,2013-01-19,"Sao Paulo, Brazil",Light Heavyweight,3,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,187.96,182.88,198.12,187.96,185.0,205.0,30.0,26.0,2493,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0
Lucas Martins,Edson Barboza,2013-01-19,"Sao Paulo, Brazil",Lightweight,3,0.0,0.0,1.0,0.0,0.0,13.0,0.0,4.0,182.88,180.34,182.88,190.5,145.0,155.0,24.0,26.0,2493,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1
Nik Lentz,Diego Nunes,2013-01-19,"Sao Paulo, Brazil",Featherweight,3,0.0,1.0,0.0,1.0,26.0,15.0,6.0,3.0,172.72,167.64,172.72,170.18,155.0,145.0,28.0,30.0,2493,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
Andrew Craig,Ronny Markes,2013-01-19,"Sao Paulo, Brazil",Middleweight,3,0.0,2.0,0.0,2.0,5.0,6.0,2.0,2.0,185.42,185.42,193.04,190.5,170.0,185.0,27.0,24.0,2493,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
Milton Vieira,Godofredo Pepey,2013-01-19,"Sao Paulo, Brazil",Featherweight,3,1.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,182.88,170.18,182.88,185.42,145.0,145.0,34.0,25.0,2493,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0
Khabib Nurmagomedov,Thiago Tavares,2013-01-19,"Sao Paulo, Brazil",Lightweight,3,0.0,2.0,0.0,2.0,6.0,30.0,2.0,7.0,177.8,170.18,177.8,172.72,155.0,145.0,24.0,28.0,2493,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1
Ben Rothwell,Gabriel Gonzaga,2013-01-19,"Sao Paulo, Brazil",Heavyweight,3,0.0,1.0,0.0,1.0,9.0,21.0,2.0,8.0,193.04,187.96,198.12,193.04,265.0,242.0,31.0,33.0,2493,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
CB Dollaway,Daniel Sarafian,2013-01-19,"Sao Paulo, Brazil",Middleweight,3,0.0,1.0,0.0,0.0,17.0,0.0,6.0,0.0,187.96,175.26,193.04,185.42,185.0,185.0,29.0,30.0,2493,1,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0
Michael Bisping,Vitor Belfort,2013-01-19,"Sao Paulo, Brazil",Middleweight,5,0.0,1.0,1.0,0.0,40.0,25.0,13.0,10.0,185.42,182.88,190.5,187.96,185.0,185.0,33.0,35.0,2493,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0
Matt Hobar,Pedro Munhoz,2014-05-31,"Sao Paulo, Brazil",Bantamweight,3,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,177.8,167.64,177.8,165.1,135.0,135.0,27.0,27.0,2493,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
Richardson Moreira,Marcos Rogerio de Lima,2014-05-31,"Sao Paulo, Brazil",Heavyweight,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.96,185.42,182.88,190.5,185.0,253.0,30.0,28.0,2493,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
Wagner Silva,Ricardo Abreu,2014-05-31,"Sao Paulo, Brazil",Middleweight,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,182.88,180.34,180.34,185.42,170.0,185.0,27.0,30.0,2493,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
Mark Eddiva,Kevin Souza,2014-05-31,"Sao Paulo, Brazil",Featherweight,3,0.0,1.0,0.0,1.0,3.0,3.0,1.0,1.0,172.72,182.88,172.72,187.96,145.0,145.0,28.0,29.0,2493,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0
Gasan Umalatov,Paulo Thiago,2014-05-31,"Sao Paulo, Brazil",Welterweight,3,1.0,0.0,1.0,0.0,3.0,26.0,0.0,5.0,180.34,180.34,180.34,185.42,170.0,170.0,31.0,33.0,2493,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1
Ernest Chavez,Elias Silverio,2014-05-31,"Sao Paulo, Brazil",Lightweight,3,0.0,1.0,0.0,2.0,3.0,6.0,1.0,2.0,172.72,180.34,177.8,185.42,145.0,155.0,30.0,27.0,2493,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1
Rashid Magomedov,Rodrigo Damm,2014-05-31,"Sao Paulo, Brazil",Lightweight,3,0.0,1.0,0.0,2.0,3.0,10.0,1.0,3.0,175.26,170.18,177.8,180.34,155.0,155.0,29.0,34.0,2493,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1
Robert Peralta,Rony Jason,2014-05-31,"Sao Paulo, Brazil",Featherweight,3,0.0,1.0,0.0,1.0,13.0,8.0,3.0,4.0,172.72,170.18,180.34,177.8,145.0,145.0,28.0,30.0,2493,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
Alexander Yakovlev,Demian Maia,2014-05-31,"Sao Paulo, Brazil",Welterweight,3,0.0,0.0,2.0,0.0,0.0,45.0,0.0,12.0,190.5,185.42,187.96,182.88,155.0,170.0,29.0,36.0,2493,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1
Warlley Alves,Marcio Alexandre Junior,2014-05-31,"Sao Paulo, Brazil",Middleweight,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.34,182.88,182.88,190.5,170.0,185.0,23.0,25.0,2493,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0
Antonio Carlos Junior,Vitor Miranda,2014-05-31,"Sao Paulo, Brazil",Heavyweight,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.96,185.42,200.66,195.58,185.0,185.0,24.0,35.0,2493,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0
Fabio Maldonado,Stipe Miocic,2014-05-31,"Sao Paulo, Brazil",Heavyweight,5,0.0,3.0,0.0,2.0,20.0,14.0,4.0,5.0,185.42,193.04,190.5,203.2,205.0,240.0,34.0,31.0,2493,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
Wanderlei Silva,Tito Ortiz,2000-04-14,"Tokyo, Japan",Light Heavyweight,5,0.0,1.0,1.0,0.0,2.0,9.0,1.0,3.0,180.34,190.5,187.96,187.96,205.0,205.0,23.0,25.0,131,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0
Jeff Monson,Chuck Liddell,2000-12-16,"Tokyo, Japan",Middleweight,3,0.0,1.0,0.0,1.0,2.0,3.0,1.0,2.0,175.26,187.96,187.96,193.04,247.0,205.0,29.0,30.0,131,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
Matt Hughes,Dennis Hallman,2000-12-16,"Tokyo, Japan",Welterweight,3,0.0,2.0,0.0,0.0,4.0,0.0,2.0,0.0,175.26,175.26,185.42,182.88,170.0,155.0,27.0,25.0,131,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1
Jeremy Horn,Elvis Sinosic,2001-02-23,"Atlantic City, New Jersey, USA",Middleweight,3,0.0,4.0,0.0,0.0,7.0,0.0,4.0,0.0,185.42,190.5,187.96,195.58,185.0,205.0,25.0,30.0,7,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
Caol Uno,Jens Pulver,2001-02-23,"Atlantic City, New Jersey, USA",Lightweight,5,0.0,0.0,0.0,3.0,0.0,8.0,0.0,3.0,170.18,170.18,177.8,177.8,155.0,145.0,25.0,26.0,7,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1
Evan Tanner,Tito Ortiz,2001-02-23,"Atlantic City, New Jersey, USA",Light Heavyweight,5,0.0,3.0,0.0,2.0,3.0,15.0,3.0,5.0,182.88,190.5,187.96,187.96,185.0,205.0,30.0,26.0,7,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0
Ricardo Almeida,Matt Lindland,2001-05-04,"Atlantic City, New Jersey, USA",Light Heavyweight,3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,182.88,182.88,187.96,187.96,170.0,185.0,24.0,30.0,7,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0
Rich Clementi,Yves Edwards,2003-02-28,"Atlantic City, New Jersey, USA",Lightweight,3,0.0,0.0,0.0,1.0,0.0,7.0,0.0,1.0,175.26,175.26,182.88,185.42,155.0,155.0,26.0,26.0,7,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1
Phil Baroni,Matt Lindland,2003-02-28,"Atlantic City, New Jersey, USA",Middleweight,3,0.0,2.0,0.0,1.0,7.0,14.0,3.0,5.0,175.26,182.88,182.88,187.96,170.0,185.0,26.0,32.0,7,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0
Marvin Eastman,Travis Lutter,2004-10-22,"Atlantic City, New Jersey, USA",Light Heavyweight,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,175.26,180.34,185.42,190.5,185.0,185.0,33.0,31.0,7,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
Robbie Lawler,Evan Tanner,2004-10-22,"Atlantic City, New Jersey, USA",Middleweight,3,1.0,0.0,0.0,2.0,13.0,15.0,4.0,8.0,180.34,182.88,187.96,187.96,170.0,185.0,22.0,33.0,7,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0
Georges St-Pierre,Matt Hughes,2004-10-22,"Atlantic City, New Jersey, USA",Welterweight,5,0.0,2.0,0.0,1.0,4.0,26.0,2.0,9.0,180.34,175.26,193.04,185.42,185.0,170.0,23.0,31.0,7,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1
Jorge Rivera,Rich Franklin,2004-10-22,"Atlantic City, New Jersey, USA",Middleweight,3,1.0,0.0,0.0,2.0,4.0,2.0,1.0,2.0,185.42,185.42,185.42,190.5,185.0,185.0,32.0,30.0,7,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0
Patrick Cote,Tito Ortiz,2004-10-22,"Atlantic City, New Jersey, USA",Light Heavyweight,3,0.0,0.0,2.0,0.0,0.0,32.0,0.0,9.0,180.34,190.5,180.34,187.96,170.0,205.0,24.0,29.0,7,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
Charles McCarthy,David Loiseau,2005-06-04,"Atlantic City, New Jersey, USA",Middleweight,3,0.0,0.0,0.0,1.0,0.0,5.0,0.0,2.0,177.8,182.88,180.34,193.04,185.0,185.0,24.0,25.0,7,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
Evan Tanner,Rich Franklin,2005-06-04,"Atlantic City, New Jersey, USA",Middleweight,5,0.0,4.0,0.0,4.0,17.0,6.0,10.0,4.0,182.88,185.42,187.96,190.5,185.0,185.0,34.0,30.0,7,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0
Matt Serra,Karo Parisyan,2005-06-04,"Atlantic City, New Jersey, USA",Welterweight,3,0.0,2.0,0.0,2.0,19.0,10.0,4.0,3.0,167.64,177.8,172.72,182.88,170.0,170.0,31.0,22.0,7,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1
Ricardo Funch,Dan Miller,2012-06-22,"Atlantic City, New Jersey, USA",Welterweight,3,3.0,0.0,2.0,0.0,6.0,25.0,0.0,5.0,177.8,185.42,193.04,187.96,170.0,185.0,31.0,30.0,7,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1
Chris Camozzi,Nick Catone,2012-06-22,"Atlantic City, New Jersey, USA",Middleweight,3,0.0,1.0,0.0,2.0,13.0,13.0,3.0,3.0,187.96,182.88,193.04,182.88,185.0,185.0,25.0,30.0,7,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0
Brock Jardine,Rick Story,2012-06-22,"Atlantic City, New Jersey, USA",Welterweight,3,0.0,0.0,2.0,0.0,0.0,25.0,0.0,6.0,180.34,175.26,185.42,180.34,170.0,170.0,26.0,27.0,7,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1
Ricardo Lamas,Hatsu Hioki,2012-06-22,"Atlantic City, New Jersey, USA",Featherweight,3,0.0,2.0,0.0,2.0,3.0,6.0,2.0,2.0,172.72,180.34,180.34,177.8,145.0,145.0,30.0,28.0,7,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
Cub Swanson,Ross Pearson,2012-06-22,"Atlantic City, New Jersey, USA",Featherweight,3,0.0,1.0,0.0,1.0,4.0,19.0,1.0,5.0,172.72,172.72,177.8,175.26,145.0,155.0,28.0,27.0,7,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
TJ Waldburger,Brian Ebersole,2012-06-22,"Atlantic City, New Jersey, USA",Welterweight,3,0.0,2.0,0.0,3.0,6.0,7.0,3.0,3.0,180.34,182.88,190.5,185.42,170.0,170.0,24.0,31.0,7,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1
Spencer Fisher,Sam Stout,2012-06-22,"Atlantic City, New Jersey, USA",Lightweight,3,2.0,0.0,1.0,0.0,39.0,32.0,9.0,6.0,170.18,175.26,177.8,177.8,155.0,155.0,36.0,28.0,7,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1
Clay Guida,Gray Maynard,2012-06-22,"Atlantic City, New Jersey, USA",Lightweight,5,1.0,0.0,2.0,0.0,39.0,33.0,9.0,8.0,170.18,175.26,177.8,177.8,155.0,155.0,30.0,33.0,7,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1
Jerrod Sanders,Yosdenis Cedeno,2014-07-16,"Atlantic City, New Jersey, USA",Lightweight,3,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,172.72,172.72,182.88,175.26,135.0,155.0,34.0,29.0,7,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1
Aljamain Sterling,Hugo Viana,2014-07-16,"Atlantic City, New Jersey, USA",Bantamweight,3,0.0,1.0,0.0,1.0,3.0,8.0,1.0,3.0,170.18,167.64,180.34,170.18,135.0,135.0,24.0,31.0,7,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
Pat Healy,Gleison Tibau,2014-07-16,"Atlantic City, New Jersey, USA",Lightweight,3,5.0,0.0,1.0,0.0,13.0,52.0,0.0,13.0,182.88,177.8,187.96,180.34,155.0,155.0,30.0,30.0,7,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1
Alex White,Lucas Martins,2014-07-16,"Atlantic City, New Jersey, USA",Featherweight,3,0.0,1.0,0.0,2.0,1.0,5.0,1.0,2.0,182.88,182.88,180.34,182.88,155.0,145.0,25.0,25.0,7,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0
Alptekin Ozkilic,John Lineker,2014-07-16,"Atlantic City, New Jersey, USA",Flyweight,3,1.0,0.0,1.0,0.0,6.0,13.0,1.0,4.0,165.1,160.02,165.1,170.18,125.0,135.0,28.0,24.0,7,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0
Joe Proctor,Justin Salas,2014-07-16,"Atlantic City, New Jersey, USA",Lightweight,3,0.0,1.0,0.0,1.0,7.0,9.0,2.0,3.0,177.8,172.72,182.88,177.8,155.0,155.0,28.0,32.0,7,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1
Leonardo Mafra,Rick Story,2014-07-16,"Atlantic City, New Jersey, USA",Welterweight,3,1.0,0.0,1.0,0.0,3.0,39.0,0.0,9.0,177.8,175.26,177.8,180.34,155.0,170.0,25.0,29.0,7,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1
Evan Dunham,Edson Barboza,2014-07-16,"Atlantic City, New Jersey, USA",Lightweight,3,2.0,0.0,1.0,0.0,30.0,20.0,7.0,7.0,177.8,180.34,177.8,190.5,155.0,155.0,32.0,28.0,7,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1
Jim Miller,Donald Cerrone,2014-07-16,"Atlantic City, New Jersey, USA",Lightweight,5,0.0,2.0,0.0,3.0,39.0,25.0,13.0,10.0,172.72,185.42,180.34,185.42,155.0,155.0,30.0,31.0,7,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1
Keita Nakamura,Anthony Rocco Martin,2018-04-21,"Atlantic City, New Jersey, USA",Welterweight,3,0.0,1.0,1.0,0.0,23.0,20.0,3.0,4.0,180.34,182.88,185.42,185.42,170.0,170.0,33.0,28.0,7,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1
Patrick Cummins,Corey Anderson,2018-04-21,"Atlantic City, New Jersey, USA",Light Heavyweight,3,0.0,2.0,2.0,0.0,22.0,25.0,6.0,6.0,187.96,190.5,193.04,200.66,205.0,205.0,37.0,28.0,7,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
Luan Chagas,Siyar Bahadurzada,2018-04-21,"Atlantic City, New Jersey, USA",Welterweight,3,0.0,1.0,0.0,2.0,8.0,12.0,1.0,3.0,182.88,180.34,190.5,185.42,170.0,170.0,24.0,34.0,7,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1
Ricky Simon,Merab Dvalishvili,2018-04-21,"Atlantic City, New Jersey, USA",Bantamweight,3,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,167.64,167.64,175.26,172.72,135.0,135.0,25.0,27.0,7,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
Alex Garcia,Ryan LaFlare,2018-04-21,"Atlantic City, New Jersey, USA",Welterweight,3,0.0,1.0,1.0,0.0,19.0,25.0,5.0,6.0,175.26,185.42,182.88,187.96,170.0,170.0,30.0,34.0,7,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,1
Dan Hooker,Jim Miller,2018-04-21,"Atlantic City, New Jersey, USA",Lightweight,3,0.0,2.0,3.0,0.0,18.0,68.0,5.0,17.0,182.88,172.72,190.5,180.34,155.0,155.0,28.0,34.0,7,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1
Brett Johns,Aljamain Sterling,2018-04-21,"Atlantic City, New Jersey, USA",Bantamweight,3,0.0,3.0,1.0,0.0,7.0,24.0,3.0,6.0,170.18,170.18,180.34,180.34,135.0,135.0,26.0,28.0,7,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0
Thiago Santos,David Branch,2018-04-21,"Atlantic City, New Jersey, USA",Middleweight,3,0.0,4.0,1.0,0.0,20.0,16.0,9.0,3.0,187.96,185.42,193.04,198.12,205.0,185.0,34.0,36.0,7,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
Chase Sherman,Justin Willis,2018-04-21,"Atlantic City, New Jersey, USA",Heavyweight,3,1.0,0.0,0.0,2.0,11.0,4.0,2.0,2.0,193.04,185.42,198.12,198.12,250.0,264.0,28.0,30.0,7,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0
Cub Swanson,Frankie Edgar,2018-04-21,"Atlantic City, New Jersey, USA",Featherweight,3,1.0,0.0,1.0,0.0,42.0,80.0,10.0,16.0,172.72,167.64,177.8,172.72,145.0,145.0,34.0,36.0,7,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0
Kevin Lee,Edson Barboza,2018-04-21,"Atlantic City, New Jersey, USA",Lightweight,5,1.0,0.0,1.0,0.0,26.0,43.0,9.0,13.0,175.26,180.34,195.58,190.5,170.0,155.0,25.0,32.0,7,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1
Elvis Sinosic,Tito Ortiz,2001-06-29,"East Rutherford, New Jersey, USA",Light Heavyweight,5,0.0,1.0,0.0,3.0,1.0,16.0,1.0,6.0,190.5,190.5,195.58,187.96,205.0,205.0,30.0,26.0,3,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0
Karlos Vemola,Mike Massenzio,2012-05-05,"East Rutherford, New Jersey, USA",Middleweight,3,1.0,0.0,1.0,0.0,7.0,12.0,1.0,2.0,182.88,187.96,190.5,185.42,185.0,185.0,26.0,29.0,3,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0
Pablo Garza,Dennis Bermudez,2012-05-05,"East Rutherford, New Jersey, USA",Featherweight,3,1.0,0.0,1.0,0.0,4.0,1.0,2.0,0.0,185.42,167.64,185.42,167.64,145.0,155.0,28.0,25.0,3,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0
John Cholish,Danny Castillo,2012-05-05,"East Rutherford, New Jersey, USA",Lightweight,3,0.0,1.0,0.0,2.0,2.0,10.0,1.0,3.0,180.34,175.26,182.88,180.34,155.0,155.0,28.0,32.0,3,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1
John Lineker,Louis Gaudinot,2012-05-05,"East Rutherford, New Jersey, USA",Flyweight,3,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,160.02,160.02,170.18,160.02,135.0,125.0,21.0,27.0,3,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0
Pascal Krauss,John Hathaway,2012-05-05,"East Rutherford, New Jersey, USA",Welterweight,3,0.0,1.0,0.0,1.0,3.0,16.0,1.0,5.0,185.42,185.42,182.88,190.5,170.0,170.0,25.0,24.0,3,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1
Tim Elliott,John Dodson,2012-05-05,"East Rutherford, New Jersey, USA",Flyweight,3,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,170.18,160.02,167.64,167.64,135.0,135.0,25.0,27.0,3,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
Michael Johnson,Tony Ferguson,2012-05-05,"East Rutherford, New Jersey, USA",Lightweight,3,0.0,1.0,0.0,3.0,8.0,5.0,2.0,3.0,177.8,180.34,185.42,193.04,145.0,155.0,25.0,28.0,3,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
Lavar Johnson,Pat Barry,2012-05-05,"East Rutherford, New Jersey, USA",Heavyweight,3,0.0,1.0,0.0,1.0,1.0,14.0,1.0,4.0,193.04,180.34,208.28,187.96,240.0,235.0,34.0,32.0,3,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0
Alan Belcher,Rousimar Palhares,2012-05-05,"East Rutherford, New Jersey, USA",Middleweight,3,0.0,3.0,0.0,3.0,24.0,17.0,8.0,7.0,187.96,172.72,185.42,180.34,185.0,170.0,28.0,32.0,3,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0
Johny Hendricks,Josh Koscheck,2012-05-05,"East Rutherford, New Jersey, USA",Welterweight,3,0.0,3.0,0.0,2.0,17.0,44.0,7.0,15.0,175.26,177.8,175.26,185.42,185.0,170.0,28.0,34.0,3,1,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
Jim Miller,Nate Diaz,2012-05-05,"East Rutherford, New Jersey, USA",Lightweight,5,0.0,1.0,0.0,2.0,29.0,34.0,10.0,10.0,172.72,182.88,180.34,193.04,155.0,170.0,28.0,27.0,3,1,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1
Yves Edwards,Matt Serra,2001-09-28,"Las Vegas, Nevada, USA",Welterweight,3,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,175.26,167.64,185.42,172.72,155.0,170.0,24.0,27.0,2001,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1
Dennis Hallman,Jens Pulver,2001-09-28,"Las Vegas, Nevada, USA",Lightweight,5,0.0,1.0,0.0,4.0,1.0,13.0,1.0,4.0,175.26,170.18,182.88,177.8,155.0,145.0,25.0,26.0,2001,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1
Vladimir Matyushenko,Tito Ortiz,2001-09-28,"Las Vegas, Nevada, USA",Light Heavyweight,5,0.0,1.0,0.0,4.0,3.0,17.0,1.0,7.0,182.88,190.5,187.96,187.96,205.0,205.0,30.0,26.0,2001,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0
Phil Baroni,Matt Lindland,2001-11-02,"Las Vegas, Nevada, USA",Middleweight,3,0.0,1.0,0.0,2.0,2.0,4.0,1.0,2.0,175.26,182.88,182.88,187.96,170.0,185.0,25.0,31.0,2001,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0
Caol Uno,BJ Penn,2001-11-02,"Las Vegas, Nevada, USA",Lightweight,3,0.0,1.0,0.0,2.0,6.0,2.0,1.0,2.0,170.18,175.26,177.8,177.8,155.0,155.0,26.0,22.0,2001,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1
Elvis Sinosic,Evan Tanner,2002-03-22,"Las Vegas, Nevada, USA",Light Heavyweight,3,1.0,0.0,0.0,1.0,2.0,6.0,1.0,4.0,190.5,182.88,195.58,187.96,205.0,185.0,31.0,31.0,2001,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
Randy Couture,Josh Barnett,2002-03-22,"Las Vegas, Nevada, USA",Heavyweight,5,0.0,7.0,0.0,2.0,17.0,7.0,7.0,3.0,185.42,190.5,190.5,198.12,205.0,250.0,38.0,24.0,2001,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0
Vitor Belfort,Chuck Liddell,2002-06-22,"Las Vegas, Nevada, USA",Light Heavyweight,3,0.0,2.0,0.0,5.0,6.0,13.0,5.0,6.0,182.88,187.96,187.96,193.04,185.0,205.0,25.0,32.0,2001,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0
Renato Sobral,Chuck Liddell,2002-11-22,"Las Vegas, Nevada, USA",Light Heavyweight,3,0.0,1.0,0.0,6.0,9.0,16.0,2.0,7.0,185.42,187.96,190.5,193.04,205.0,205.0,27.0,32.0,2001,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
Ken Shamrock,Tito Ortiz,2002-11-22,"Las Vegas, Nevada, USA",Light Heavyweight,5,0.0,1.0,0.0,5.0,14.0,22.0,6.0,8.0,185.42,190.5,182.88,187.96,205.0,205.0,38.0,27.0,2001,1,1,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0
