B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Height_cms,B_Reach_cms,B_Weight_lbs,B_age,B_Stance_Open Stance,B_Stance_Orthodox,B_Stance_Southpaw,B_Stance_Switch,weight_class_Bantamweight,weight_class_Featherweight,weight_class_Flyweight,weight_class_Heavyweight,weight_class_Light Heavyweight,weight_class_Lightweight,weight_class_Middleweight,weight_class_Welterweight,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,R_Stance_Open Stance,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch,B_BMI,B_hot_or_not,R_hot_or_not,R_BMI,title_bout_False,title_bout_True,Winner_Blue,no_of_rounds,elevation (ft)
0.0,3.0,0.0,13.666666666666664,0.65,0.0,0.3333333333333333,0.3333333333333333,3.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,182.88,187.96,185.0,20.0,0,0,1,0,0,0,0,1,0,0,0,0,0.0,2.0,0.0,8.5,0.92,0.5,1.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,185.42,190.5,205.0,34.0,0,1,0,0,27.802745993835842,1.0,1.0,27.04624417940421,1,0,0,2.0,23.0
0.0,1.0,0.0,46.0,0.46,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,187.96,193.04,205.0,29.0,0,1,0,0,0,0,0,0,0,0,1,0,2.0,0.0,0.0,8.5,0.5800000000000001,0.0,2.5,0.25,0.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.42,187.96,185.0,23.0,0,1,0,0,23.75237891101598,1.0,0.0,24.407586210681846,1,0,0,2.0,23.0
0.0,1.0,0.0,13.0,0.64,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,180.34,187.96,205.0,23.0,0,1,0,0,0,0,0,0,1,0,0,0,1.0,0.0,0.0,21.8,0.498,0.0,3.6,0.826,2.0,2.0,9.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,190.5,187.96,205.0,25.0,0,1,0,0,28.591437260869863,1.0,0.0,25.62301070791911,0,1,0,5.0,131.0
0.0,1.0,0.0,31.0,0.5,0.0,1.0,0.25,1.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,175.26,187.96,247.0,29.0,0,1,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,23.66666666666667,0.4733333333333333,0.0,0.6666666666666666,0.3333333333333333,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,187.96,193.04,205.0,30.0,0,1,0,0,30.2729332560481,1.0,1.0,26.320203658152845,1,0,0,3.0,131.0
0.0,3.0,0.0,26.33333333333333,0.7166666666666667,1.6666666666666667,1.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,182.88,187.96,185.0,30.0,0,1,0,0,0,0,0,0,1,0,0,0,0.0,2.0,0.0,20.714285714285715,0.5242857142857142,0.2857142857142857,3.4285714285714284,0.8271428571428572,2.0,2.0,15.0,4.0,0.0,0.0,1.0,2.0,1.0,1.0,5.0,190.5,187.96,205.0,26.0,0,1,0,0,27.802745993835842,1.0,1.0,25.62301070791911,0,1,0,5.0,7.0
0.0,2.0,0.0,22.5,0.5974999999999999,0.5,0.5,0.25,2.0,1.0,7.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,175.26,182.88,170.0,26.0,0,1,0,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,30.16666666666667,0.52,0.16666666666666666,2.6666666666666665,0.5166666666666667,4.0,1.0,14.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,5.0,182.88,187.96,185.0,32.0,0,0,1,0,27.319476353019017,1.0,1.0,25.090282970046978,1,0,0,3.0,7.0
1.0,0.0,0.0,26.33333333333333,0.44333333333333336,0.0,2.0,0.5833333333333334,3.0,2.0,13.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,180.34,187.96,170.0,22.0,0,0,1,0,0,0,0,0,0,0,1,0,0.0,2.0,0.0,26.7,0.6339999999999999,0.9,1.2,0.426,3.0,2.0,15.0,1.0,0.0,0.0,2.0,3.0,2.0,1.0,8.0,182.88,187.96,185.0,33.0,0,1,0,0,25.802028747614266,0.0,1.0,25.090282970046978,1,0,0,3.0,7.0
0.0,2.0,0.0,35.0,0.645,0.0,3.0,0.375,2.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,180.34,193.04,185.0,23.0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,25.363636363636363,0.5745454545454546,0.5454545454545454,3.1818181818181817,0.7172727272727273,6.0,2.0,26.0,7.0,0.0,0.0,3.0,3.0,1.0,2.0,9.0,175.26,185.42,170.0,31.0,0,0,0,1,23.709972362672566,1.0,1.0,25.104383675747204,0,1,0,5.0,7.0
1.0,0.0,0.0,41.0,0.54,0.0,0.5,0.25,1.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,185.42,185.42,185.0,32.0,0,1,0,0,0,0,0,0,0,0,1,0,0.0,2.0,0.0,26.5,0.61,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,185.42,190.5,185.0,30.0,0,0,1,0,24.407586210681846,0.0,1.0,24.407586210681846,1,0,0,3.0,7.0
0.0,4.0,0.0,24.33333333333333,0.6133333333333333,0.8333333333333334,1.0,0.355,4.0,2.0,17.0,2.0,0.0,0.0,2.0,4.0,3.0,1.0,10.0,182.88,187.96,185.0,34.0,0,1,0,0,0,0,0,0,0,0,1,0,0.0,4.0,0.0,29.25,0.6025,0.25,0.75,0.25,4.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,4.0,185.42,190.5,185.0,30.0,0,0,1,0,25.090282970046978,1.0,1.0,24.407586210681846,0,1,0,5.0,7.0
