R_BMI,B_BMI,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_wins,R_avg_SIG_STR_pct,B_avg_TD_pct,B_age,B_avg_SIG_STR_landed,R_losses,R_win_by_Submission,R_draw,R_avg_TD_pct,R_longest_win_streak,B_win_by_TKO_Doctor_Stoppage,R_Weight_lbs,R_total_title_bouts,R_win_by_Decision_Unanimous,R_win_by_Decision_Split,B_avg_TD_landed,R_current_win_streak,R_avg_TD_landed,B_total_rounds_fought,R_win_by_Decision_Majority,no_of_rounds,R_age,R_avg_SUB_ATT,B_total_title_bouts,B_win_by_Decision_Split,B_losses,R_current_lose_streak,R_Height_cms,B_Reach_cms,B_avg_SIG_STR_pct,R_total_rounds_fought,B_draw,R_avg_SIG_STR_landed,R_win_by_KO/TKO,R_Reach_cms,B_win_by_Submission,B_longest_win_streak,B_win_by_Decision_Majority,B_current_win_streak,B_Height_cms,B_avg_SUB_ATT,R_win_by_TKO_Doctor_Stoppage,B_current_lose_streak,B_Weight_lbs,R_wins,Winner_Blue,title_bout_False,title_bout_True,R_Stance_Open Stance,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch,B_Stance_Open Stance,B_Stance_Orthodox,B_Stance_Southpaw,B_Stance_Switch,elevation (ft),B_hot_or_not,R_hot_or_not,weight_class_Bantamweight,weight_class_Featherweight,weight_class_Flyweight,weight_class_Heavyweight,weight_class_Light Heavyweight,weight_class_Lightweight,weight_class_Middleweight,weight_class_Welterweight
27.438468934855933,24.39223891433315,1.0,0.0,3.0,0.3657142857142857,0.53,22.0,17.5,3.0,1.0,0.0,0.3228571428571429,2.0,0.0,170.0,0.0,2.0,0.0,4.75,2.0,2.8571428571428568,10.0,1.0,3.0,31.0,1.4285714285714286,0.0,1.0,1.0,0.0,167.64,182.88,0.375,19.0,0.0,16.285714285714285,0.0,172.72,1.0,2.0,0.0,2.0,177.8,1.75,0.0,0.0,170.0,4.0,0,1,0,0,1,0,0,0,1,0,0,7.0,1.0,1.0,0,0,0,0,0,0,0,1
26.544495289127248,24.407586210681846,1.0,0.0,5.0,0.62,0.243,30.0,20.5,3.0,0.0,0.0,0.05333333333333334,0.0,0.0,170.0,0.0,0.0,0.0,1.4,0.0,0.3333333333333333,25.0,0.0,3.0,31.0,0.0,0.0,1.0,5.0,3.0,177.8,187.96,0.31999999999999995,6.0,0.0,7.666666666666668,0.0,193.04,3.0,3.0,0.0,0.0,185.42,1.1,0.0,2.0,185.0,0.0,0,1,0,0,0,1,0,0,1,0,0,7.0,0.0,0.0,0,0,0,0,0,0,0,1
23.75237891101598,25.090282970046978,1.0,0.0,3.0,0.4960000000000001,0.618,30.0,28.2,2.0,1.0,0.0,0.0,2.0,0.0,185.0,0.0,1.0,1.0,3.0,1.0,0.0,13.0,0.0,3.0,25.0,0.6,0.0,1.0,2.0,0.0,187.96,182.88,0.534,13.0,0.0,41.2,0.0,193.04,1.0,2.0,0.0,2.0,182.88,0.6,0.0,0.0,185.0,3.0,1,1,0,0,1,0,0,0,0,1,0,7.0,1.0,1.0,0,0,0,0,0,0,1,0
22.0469745428375,20.223211721103073,1.0,0.0,2.0,0.4,0.34,28.0,45.5,0.0,1.0,0.0,0.415,2.0,0.0,145.0,0.0,0.0,0.0,2.0,2.0,1.5,6.0,0.0,3.0,30.0,0.5,0.0,1.0,0.0,0.0,172.72,177.8,0.54,3.0,0.0,12.5,1.0,180.34,0.0,2.0,0.0,2.0,180.34,1.0,0.0,0.0,145.0,2.0,1,1,0,0,1,0,0,0,1,0,0,7.0,1.0,1.0,0,1,0,0,0,0,0,0
23.567455545791805,23.567455545791805,4.0,0.0,5.0,0.52,0.35714285714285715,27.0,54.85714285714285,1.0,0.0,0.0,1.0,1.0,1.0,145.0,0.0,0.0,0.0,0.7142857142857143,1.0,1.5,19.0,0.0,3.0,28.0,0.5,1.0,0.0,2.0,0.0,172.72,175.26,0.4185714285714285,4.0,0.0,30.0,1.0,177.8,0.0,3.0,0.0,1.0,172.72,0.0,0.0,0.0,155.0,1.0,1,1,0,0,1,0,0,0,1,0,0,7.0,1.0,1.0,0,1,0,0,0,0,0,0
23.709972362672566,23.05593570220533,1.0,1.0,3.0,0.6325,0.22,31.0,24.66666666666667,1.0,2.0,0.0,0.65,2.0,0.0,170.0,0.0,1.0,0.0,2.0,2.0,2.5,7.0,0.0,3.0,24.0,2.5,0.0,1.0,0.0,0.0,180.34,185.42,0.63,6.0,0.0,11.75,0.0,190.5,0.0,3.0,0.0,3.0,182.88,0.3333333333333333,0.0,0.0,170.0,3.0,0,1,0,0,1,0,0,0,0,1,0,7.0,1.0,1.0,0,0,0,0,0,0,0,1
24.276211727275857,22.88929099847539,3.0,1.0,6.0,0.459375,0.125,28.0,55.41666666666666,7.0,2.0,0.0,0.175,3.0,0.0,155.0,0.0,4.0,0.0,0.16666666666666666,0.0,0.5625,32.0,0.0,3.0,36.0,0.625,0.0,2.0,6.0,2.0,170.18,177.8,0.2683333333333333,39.0,0.0,35.75,2.0,177.8,0.0,2.0,0.0,0.0,175.26,0.08333333333333333,1.0,1.0,155.0,9.0,0,1,0,0,0,1,0,0,1,0,0,7.0,0.0,0.0,0,0,0,0,0,1,0,0
24.276211727275857,22.88929099847539,5.0,1.0,8.0,0.35466666666666663,0.5372727272727272,33.0,29.0,6.0,4.0,0.0,0.4213333333333333,4.0,0.0,155.0,0.0,2.0,2.0,2.727272727272727,0.0,3.2,33.0,0.0,5.0,30.0,0.8666666666666667,2.0,2.0,3.0,1.0,170.18,177.8,0.3772727272727273,39.0,0.0,27.066666666666666,1.0,177.8,0.0,8.0,0.0,0.0,175.26,0.7272727272727273,0.0,2.0,155.0,9.0,0,1,0,0,1,0,0,0,1,0,0,7.0,0.0,0.0,0,0,0,0,0,1,0,0
21.143797310853166,21.789372389444416,1.0,1.0,3.0,0.51,0.0,31.0,44.25,0.0,0.0,0.0,0.6,1.0,0.0,135.0,0.0,1.0,0.0,0.0,1.0,3.0,8.0,0.0,3.0,24.0,3.0,0.0,1.0,1.0,0.0,170.18,170.18,0.4175,3.0,0.0,46.0,0.0,180.34,0.0,2.0,0.0,1.0,167.64,0.0,0.0,0.0,135.0,1.0,1,1,0,0,1,0,0,0,1,0,0,7.0,1.0,1.0,1,0,0,0,0,0,0,0
21.021588434363682,22.239982539539046,5.0,1.0,13.0,0.38,0.5385714285714285,30.0,21.619047619047624,5.0,0.0,0.0,0.214,0.0,0.0,155.0,0.0,0.0,0.0,3.3809523809523814,0.0,1.8,52.0,0.0,3.0,30.0,0.4,0.0,3.0,8.0,5.0,182.88,180.34,0.3519047619047619,13.0,0.0,40.2,0.0,187.96,4.0,3.0,0.0,0.0,177.8,0.7619047619047619,0.0,1.0,155.0,0.0,0,1,0,0,1,0,0,0,0,1,0,7.0,0.0,0.0,0,0,0,0,0,1,0,0
